addressid,address1,address2,city,state_name,postalcode,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,state_id,county_name,Zip,Country,Source,county_fips,all_county_weights,imprecise,military,timezone,zcta,parent_zcta,population,density
154,781 Shimonoseki Drive,,Hidalgo,,95444,38.434926,-122.868154,0.22,place,,,Graton,CA,Sonoma County,95444,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
155,1560 Jelets Boulevard,,Laiwu,,77777,32.66367,-116.27363,0.23,place,,,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
156,1963 Moscow Place,,Nagaon,,64863,36.51258,-94.61133,0.22,place,,,South West City,MO,McDonald County,64863,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
157,456 Escobar Way,,Jakarta,,36061,32.092808,-85.704649,0.22,place,,,Perote,AL,Bullock County,36061,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
158,798 Cianjur Avenue,,Yuncheng,,76990,38.300217,-76.743445,0.23,place,,,Avenue,MD,St. Mary's County,20609,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
159,185 Novi Sad Place,,Bern,,41778,37.283017,-83.321215,0.22,place,,,Yerkes,KY,Perry County,41778,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
160,1367 Yantai Manor,,Ondo,,21294,39.290385,-76.612189,0.16,place,,,Baltimore,MD,Baltimore city,21294,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
161,1386 Nakhon Sawan Boulevard,,Pyongyang,,53502,42.712827,-89.45123,0.22,place,,,Albany,WI,Green County,53502,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
162,369 Papeete Way,,Greensboro,,66639,39.048334,-95.678037,0.16,place,,,Topeka,KS,Shawnee County,66639,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
163,1440 Compton Place,,Linz,,81037,37.744731,-105.071385,0.2,place,,,Farisita,CO,Huerfano County,81037,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
164,1623 Baha Blanca Manor,,Ljubertsy,,81511,39.063871,-108.550649,0.16,place,,,Grand Junction,CO,Mesa County,81511,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
165,97 Shimoga Avenue,,Tel Aviv-Jaffa,,44660,40.622284,-81.782532,0.22,place,,,Mount Hope,OH,Holmes County,44660,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
166,1740 Le Mans Loop,,Le Mans,,22853,38.63976,-78.781566,0.09,place,,,Timberville,VA,Rockingham County,22853,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
167,1287 Xiangfan Boulevard,,Kakamigahara,,57844,32.66367,-116.27363,0.23,place,,,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
168,842 Salzburg Lane,,Tarsus,,3313,44.413523,-68.251778,0.12,place,,,Salsbury Cove,ME,Hancock County,4672,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
169,154 Tallahassee Loop,,Hami,,62250,38.54144,-89.26369,0.22,place,,,Hoffman,IL,Clinton County,62250,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
170,710 San Felipe del Progreso Avenue,,Lilongwe,,76901,31.44451,-100.533397,0.22,place,,,San Angelo,TX,Tom Green County,76901,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
171,1540 Wroclaw Drive,,Chandrapur,,62686,39.23868,-89.889363,0.33,place,,,Standard City,IL,Macoupin County,62686,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
172,475 Atinsk Way,,Jinchang,,59571,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
173,1294 Firozabad Drive,,Pingxiang,,70618,0,0,0,,,,,,,,,,,,,,,,,,
174,1877 Ezhou Lane,,Udaipur,,63337,0,0,0,,,,,,,,,,,,,,,,,,
175,316 Uruapan Street,,Ipoh,,58194,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
176,29 Pyongyang Loop,,Batman,,47753,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
177,1010 Klerksdorp Way,,Graz,,6802,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
178,1848 Salala Boulevard,,Ocumare del Tuy,,25220,37.19672,-89.7362,0.23,place,,,Delta,MO,Cape Girardeau County,63744,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
179,431 Xiangtan Avenue,,Allappuzha (Alleppey),,4854,44.07951,-69.085574,0.22,place,,,Owls Head,ME,Knox County,4854,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
180,757 Rustenburg Avenue,,Skikda,,89668,38.300217,-76.743445,0.23,place,,,Avenue,MD,St. Mary's County,20609,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
181,146 Johannesburg Way,,Matamoros,,54132,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
182,1891 Rizhao Boulevard,,Santa Brbara dOeste,,47288,34.421897,-119.707135,0.23,place,,,Santa Barbara,CA,Santa Barbara County,93101,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
183,1089 Iwatsuki Avenue,,Kirovo-Tepetsk,,35109,38.300217,-76.743445,0.23,place,,,Avenue,MD,St. Mary's County,20609,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
184,1410 Benin City Parkway,,Pereira,,29747,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
185,682 Garden Grove Place,,Memphis,,67497,35.169255,-89.990415,0.23,place,,,Memphis,TN,Shelby County,37501,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
186,533 al-Ayn Boulevard,,Compton,,8862,40.430006,-74.417344,0.09,place,,,Perth Amboy,NJ,Middlesex County,8862,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
187,1839 Szkesfehrvr Parkway,,Luzinia,,55709,47.347269,-93.388826,0.22,place,,,Bovey,MN,Itasca County,55709,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
188,741 Ambattur Manor,,s-Hertogenbosch,,43310,40.491005,-83.752068,0.22,place,,,Belle Center,OH,Logan County,43310,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
189,927 Barcelona Street,,Shahr-e Kord,,65121,40.319764,-89.989004,0.17,place,,,Eckard,IL,Mason County,62644,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
190,435 0 Way,,Haldia,,74750,33.980066,-95.002496,0.22,place,,,Millerton,OK,McCurtain County,74750,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
191,140 Chiayi Parkway,,Sumy,,38982,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
192,1166 Changhwa Street,,Bayugan,,58852,48.364623,-102.957597,0.22,place,,,Tioga,ND,Williams County,58852,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
193,891 Novi Sad Manor,,Oshawa,,5379,44.300244,-94.10524,0.17,place,,,Oshawa,MN,Nicollet County,56082,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
194,605 Rio Claro Parkway,,Tabora,,49348,42.685065,-85.642406,0.22,place,,,Wayland,MI,Allegan County,49348,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
195,1077 San Felipe de Puerto Plata Place,,Novoterkassk,,65387,0,0,0,,,,,,,,,,,,,,,,,,
196,9 San Miguel de Tucumn Manor,,Firozabad,,90845,33.758785,-118.388044,0.5,rooftop,9,San Miguel,Palos Verdes Peninsula,CA,Los Angeles County,90274,US,Los Angeles County,,,,,,,,,
197,447 Surakarta Loop,,Kisumu,,10428,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
198,345 Oshawa Boulevard,,Hino,,32114,29.194,-81.047652,0.22,place,,,Daytona Beach,FL,Volusia County,32114,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
199,1792 Valle de la Pascua Place,,Siegen,,15540,39.796137,-79.247161,0.09,place,,,Fort Hill,PA,Somerset County,15540,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
200,1074 Binzhou Manor,,Mannheim,,36490,40.155927,-76.464018,0.23,place,,,Manheim,PA,Lancaster County,17545,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
201,817 Bradford Loop,,Changzhou,,89459,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
202,955 Bamenda Way,,Ikerre,,1545,42.286992,-71.715313,0.22,place,,,Shrewsbury,MA,Worcester County,1545,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
203,1149 A Corua (La Corua) Boulevard,,Haiphong,,95824,38.517256,-121.440764,0.22,place,,,Sacramento,CA,Sacramento County,95824,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
204,387 Mwene-Ditu Drive,,Ashgabat,,8073,45.409279,-68.666598,1,state,,,,ME,,,US,US Census Bureau,,,,,,,,,
205,68 Molodetno Manor,,Witten,,4662,44.294073,-68.284865,0.22,place,,,Northeast Harbor,ME,Hancock County,4662,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
206,642 Nador Drive,,Bhusawal,,3924,0,0,0,,,,,,,,,,,,,,,,,,
207,1688 Nador Lane,,Gorontalo,,61613,40.742537,-89.627948,0.09,place,,,Peoria,IL,Peoria County,61613,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
208,1215 Pyongyang Parkway,,Usak,,25238,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
209,1679 Antofagasta Street,,Ciudad del Este,,86599,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
210,1304 s-Hertogenbosch Way,,Blumenau,,10925,41.22259,-74.29432,0.22,place,,,Greenwood Lake,NY,Orange County,10925,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
211,850 Salala Loop,,Nuuk,,10800,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
212,624 Oshawa Boulevard,,Balurghat,,89959,32.66367,-116.27363,0.23,place,,,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
213,43 Dadu Avenue,,Bhilwara,,4855,43.92731,-69.25282,0.22,place,,,Port Clyde,ME,Knox County,4855,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
214,751 Lima Loop,,Aden,,99405,38.655119,-77.53721,0.17,place,,,Aden,VA,Prince William County,22123,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
215,1333 Haldia Street,,Fuyu,,82161,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
216,660 Jedda Boulevard,,Bellevue,,25053,38.08093,-81.83401,0.22,place,,,Danville,WV,Boone County,25053,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
217,1001 Miyakonojo Lane,,Taizz,,67924,0,0,0,,,,,,,,,,,,,,,,,,
218,226 Brest Manor,,Sunnyvale,,2299,37.371647,-122.023153,0.23,place,,,Sunnyvale,CA,Santa Clara County,94086,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
219,1229 Valencia Parkway,,Stara Zagora,,99124,47.99793,-118.95447,0.22,place,,,Elmer City,WA,Okanogan County,99124,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
220,1201 Qomsheh Manor,,Aparecida de Goinia,,21464,38.978445,-76.492183,0.06,place,,,Annapolis,MD,Anne Arundel County,21464,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
221,866 Shivapuri Manor,,Sambhal,,22474,37.865945,-81.267882,0.17,place,,,Maynor,WV,Raleigh County,25801,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
222,1168 Najafabad Parkway,,Kabul,,40301,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
223,1244 Allappuzha (Alleppey) Place,,Vicente Lpez,,20657,38.36193,-76.4372,0.22,place,,,Lusby,MD,Calvert County,20657,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
224,1842 Luzinia Boulevard,,Zanzibar,,94420,37.562992,-122.325525,0.16,place,,,San Mateo,CA,San Mateo County,94420,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
225,1926 Gingoog Street,,Syrakusa,,22824,38.818191,-78.637768,0.22,place,,,Edinburg,VA,Shenandoah County,22824,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
226,810 Palghat (Palakkad) Boulevard,,Jaroslavl,,73431,32.66367,-116.27363,0.23,place,,,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
227,1820 Maring Parkway,,Mandi Bahauddin,,88307,0,0,0,,,,,,,,,,,,,,,,,,
228,60 Poos de Caldas Street,,Jodhpur,,82338,0,0,0,,,,,,,,,,,,,,,,,,
229,1014 Loja Manor,,Ambattur,,66851,38.24446,-96.92808,0.22,place,,,Florence,KS,Marion County,66851,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
230,201 Effon-Alaiye Way,,Asuncin,,64344,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
231,430 Alessandria Loop,,Saarbrcken,,47446,38.73283,-86.4736,0.22,place,,,Mitchell,IN,Lawrence County,47446,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
232,754 Valencia Place,,Phnom Penh,,87911,40.710689,-79.937074,0.23,place,,,Valencia,PA,Butler County,16059,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
233,356 Olomouc Manor,,Anpolis,,93323,35.373292,-119.018713,0.16,place,,,Bakersfield,CA,Kern County,93323,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
234,1256 Bislig Boulevard,,Botosani,,50598,43.082501,-94.389877,0.22,place,,,Whittemore,IA,Kossuth County,50598,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
235,954 Kimchon Place,,Uttarpara-Kotrung,,42420,37.785068,-87.527383,0.22,place,,,Henderson,KY,Henderson County,42420,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
236,885 Yingkou Manor,,Zaria,,31390,37.865945,-81.267882,0.17,place,,,Maynor,WV,Raleigh County,25801,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
237,1736 Cavite Place,,Idfu,,98775,38.689283,-120.054929,0.17,place,,,Plasse,CA,Amador County,95646,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
238,346 Skikda Parkway,,Jalib al-Shuyukh,,90628,0,0,0,,,,,,,,,,,,,,,,,,
239,98 Stara Zagora Boulevard,,Buenaventura,,76448,32.667966,-116.301395,0.5,street_center,,Star Ave,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
240,1479 Rustenburg Boulevard,,Tanza,,18727,41.245915,-75.881308,0.16,place,,,Wilkes-Barre,PA,Luzerne County,18727,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
241,647 A Corua (La Corua) Street,,Naju,,36971,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
242,1964 Gijn Manor,,Shimoga,,14408,37.865945,-81.267882,0.17,place,,,Maynor,WV,Raleigh County,25801,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
243,47 Syktyvkar Lane,,Ciomas,,22236,38.89039,-77.084145,0.06,place,,,Arlington,VA,Arlington County,22236,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
244,1148 Saarbrcken Parkway,,Iwaki,,1921,42.683256,-71.017403,0.22,place,,,Boxford,MA,Essex County,1921,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
245,1103 Bilbays Parkway,,Xiangfan,,87660,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
246,1246 Boksburg Parkway,,Qinhuangdao,,28349,35.015157,-77.896863,0.22,place,,,Kenansville,NC,Duplin County,28349,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
247,1483 Pathankot Street,,San Miguel de Tucumn,,37288,36.16589,-86.784443,0.06,place,,,Nashville,TN,Davidson County,37288,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
248,582 Papeete Loop,,Lapu-Lapu,,27722,36.051155,-78.857651,0.22,place,,,Durham,NC,Durham County,27722,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
249,300 Junan Street,,Uijongbu,,81314,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
250,829 Grand Prairie Way,,Maring,,6461,41.265694,-73.087786,0.08,place,,,Milford,CT,,6461,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
251,1473 Changhwa Parkway,,Coacalco de Berriozbal,,75933,30.61298,-93.87407,0.07,place,,,Call,TX,Jasper County,75933,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
252,1309 Weifang Street,,Tallahassee,,57338,30.427753,-84.258472,0.23,place,,,Tallahassee,FL,Leon County,32301,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
253,1760 Oshawa Manor,,Tianjin,,38140,35.201738,-89.971538,0.22,place,,,Memphis,TN,Shelby County,38140,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
254,786 Stara Zagora Way,,Oyo,,98332,47.363745,-122.603703,0.22,place,,,Gig Harbor,WA,Pierce County,98332,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
255,1966 Tonghae Street,,Halle/Saale,,36481,31.808458,-87.316372,0.22,place,,,Vredenburgh,AL,Monroe County,36481,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
256,1497 Yuzhou Drive,,London,,3433,37.137615,-84.115617,0.23,place,,,London,KY,Laurel County,40745,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
258,752 Ondo Loop,,Miyakonojo,,32474,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
259,1338 Zalantun Lane,,Poos de Caldas,,45403,39.764658,-84.150738,0.09,place,,,Dayton,OH,Montgomery County,45403,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
260,127 Iwakuni Boulevard,,Hagonoy,,20777,39.173059,-76.966718,0.22,place,,,Highland,MD,Howard County,20777,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
261,51 Laredo Avenue,,Monywa,,68146,41.25861,-95.937792,0.16,place,,,Omaha,NE,Douglas County,68146,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
262,771 Yaound Manor,,Beira,,86768,37.865945,-81.267882,0.17,place,,,Maynor,WV,Raleigh County,25801,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
263,532 Toulon Street,,Santiago de los Caballeros,,69517,0,0,0,,,,,,,,,,,,,,,,,,
264,1027 Banjul Place,,Halisahar,,50390,41.600545,-93.609106,0.16,place,,,Des Moines,IA,Polk County,50390,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
265,1158 Mandi Bahauddin Parkway,,Datong,,98484,47.252877,-122.444291,0.16,place,,,Tacoma,WA,Pierce County,98484,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
266,862 Xintai Lane,,Tuguegarao,,30065,33.912473,-84.557181,0.09,place,,,Marietta,GA,Cobb County,30065,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
267,816 Cayenne Parkway,,Portoviejo,,93629,37.231612,-119.235956,0.2,place,,,Huntington Lake,CA,Fresno County,93629,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
268,1831 Nam Dinh Loop,,Mandaluyong,,51990,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
269,446 Kirovo-Tepetsk Lane,,Higashiosaka,,19428,40.082509,-75.304377,0.09,place,,,Conshohocken,PA,Montgomery County,19428,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
270,682 Halisahar Place,,Olomouc,,20536,38.901211,-77.016948,0.22,place,,,Washington,DC,District of Columbia,20536,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
271,1587 Loja Manor,,Salzburg,,5410,37.865945,-81.267882,0.17,place,,,Maynor,WV,Raleigh County,25801,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
272,1762 Paarl Parkway,,Lengshuijiang,,53928,43.426605,-89.149069,0.22,place,,,Doylestown,WI,Columbia County,53928,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
273,1519 Ilorin Place,,Palghat (Palakkad),,49298,38.689283,-120.054929,0.17,place,,,Plasse,CA,Amador County,95646,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
274,920 Kumbakonam Loop,,Salinas,,75090,33.604131,-96.550405,0.22,place,,,Sherman,TX,Grayson County,75090,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
275,906 Goinia Way,,Kalisz,,83565,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
276,1675 Xiangfan Manor,,Kumbakonam,,11763,40.82124,-72.98653,0.22,place,,,Medford,NY,Suffolk County,11763,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
277,85 San Felipe de Puerto Plata Drive,,Yantai,,46063,40.271524,-85.72808,0.09,place,,,Orestes,IN,Madison County,46063,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
278,144 South Hill Loop,,Salamanca,,2012,42.34841,-78.830904,0.5,street_center,,S Hill Rd,Cattaraugus,NY,Cattaraugus County,14719,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
279,1884 Shikarpur Avenue,,Karnal,,85548,32.797009,-109.752196,0.22,place,,,Safford,AZ,Graham County,85548,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
280,1980 Kamjanets-Podilskyi Street,,Peoria,,89502,39.491314,-119.743845,0.09,place,,,Reno,NV,Washoe County,89502,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
281,1944 Bamenda Way,,Warren,,24645,37.355944,-82.050962,0.18,place,,,Roseann,VA,Buchanan County,24645,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
282,556 Baybay Manor,,Ogbomosho,,55802,46.740951,-92.049345,0.22,place,,,Duluth,MN,St. Louis County,55802,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
283,457 Tongliao Loop,,Inegl,,56254,45.166074,-96.171159,0.2,place,,,Louisburg,MN,Lac qui Parle County,56254,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
284,600 Bradford Street,,Tabriz,,96204,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
285,1006 Santa Brbara dOeste Manor,,Owo,,36229,37.865945,-81.267882,0.17,place,,,Maynor,WV,Raleigh County,25801,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
286,1308 Sumy Loop,,Fuzhou,,30657,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
287,1405 Chisinau Place,,Ponce,,8160,39.925946,-75.11962,0.16,place,,,Camden,NJ,Camden County,8160,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
288,226 Halifax Street,,Korla,,58492,47.110075,-98.397443,0.22,place,,,Wimbledon,ND,Barnes County,58492,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
289,1279 Udine Parkway,,Benin City,,75860,31.627713,-96.21236,0.09,place,,,Teague,TX,Freestone County,75860,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
290,1336 Benin City Drive,,Otsu,,46044,40.213173,-85.786049,0.33,place,,,Frankton,IN,Madison County,46044,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
291,1155 Liaocheng Place,,Effon-Alaiye,,22650,38.763022,-78.387191,0.22,place,,,Rileyville,VA,Page County,22650,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
292,1993 Tabuk Lane,,Tambaram,,64221,0,0,0,,,,,,,,,,,,,,,,,,
293,86 Higashiosaka Lane,,Valle de Santiago,,33768,27.770861,-82.679266,0.06,place,,,Saint Petersburg,FL,Pinellas County,33768,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
294,1912 Allende Manor,,Kowloon and New Kowloon,,58124,46.934596,-97.229718,0.22,place,,,Fargo,ND,Cass County,58124,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
295,544 Tarsus Boulevard,,Valle de la Pascua,,53145,0,0,0,,,,,,,,,,,,,,,,,,
296,1936 Cuman Avenue,,Roanoke,,61195,37.274175,-79.95786,0.23,place,,,Roanoke,VA,Roanoke city,24001,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
297,1192 Tongliao Street,,Sharja,,19065,39.921061,-75.386136,0.22,place,,,Media,PA,Delaware County,19065,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
298,44 Najafabad Way,,Donostia-San Sebastin,,61391,18.3236,-66.972227,0.23,place,,,San Sebastian,PR,San Sebastin Municipio,685,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
299,32 Pudukkottai Lane,,Dayton,,38834,34.87589,-88.591575,0.09,place,,,Corinth,MS,Alcorn County,38834,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
300,661 Chisinau Lane,,Kolpino,,8856,0,0,0,,,,,,,,,,,,,,,,,,
301,951 Stara Zagora Manor,,Patiala,,98573,46.938986,-123.310708,0.18,place,,,Porter,WA,Grays Harbor County,98573,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
302,922 Vila Velha Loop,,Ahmadnagar,,4085,43.771934,-70.639561,0.22,place,,,Steep Falls,ME,Cumberland County,4085,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
303,898 Jining Lane,,Oulu,,40070,38.476096,-85.248914,0.09,place,,,Sulphur,KY,Henry County,40070,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
304,1635 Kuwana Boulevard,,Hiroshima,,52137,32.66367,-116.27363,0.23,place,,,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
305,41 El Alto Parkway,,Parbhani,,56883,38.348557,-90.983409,0.9,range_interpolation,41,Ella,Saint Clair,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
306,1883 Maikop Lane,,Kaliningrad,,68469,0,0,0,,,,,,,,,,,,,,,,,,
307,1908 Gaziantep Place,,Tiefa,,58979,38.689283,-120.054929,0.17,place,,,Plasse,CA,Amador County,95646,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
